,0
0,Tokyo
1,Rome
2,Manila
3,Prague
4,Madrid
5,Oslo
6,Oslo
7,Los_Angeles
8,Warsaw
9,Prague
10,New_York
11,Los_Angeles
12,Edmonton
13,Chicago
14,Toronto
15,Los_Angeles
16,Stockholm
17,Los_Angeles
18,Los_Angeles
19,Los_Angeles
20,Los_Angeles
21,Mexico_City
22,Chicago
23,New_York
24,London
25,London
26,New_York
27,New_York
28,Singapore
29,Paris
30,Prague
31,London
32,Prague
33,Prague
34,London
35,Buenos_Aires
36,New_York
37,London
38,Berlin
39,Rome
40,Oslo
41,Phoenix
42,New_York
43,Warsaw
44,London
45,Mexico_City
46,Chicago
47,Prague
48,Los_Angeles
49,Vancouver
50,New_York
51,Chicago
52,Stockholm
53,Copenhagen
54,Brunei
55,London
56,Chicago
57,Stockholm
58,Paris
59,Prague
60,New_York
61,New_York
62,New_York
63,New_York
64,London
65,Vienna
66,Chicago
67,Prague
68,Stockholm
69,New_York
70,Chicago
71,Prague
72,New_York
73,Chicago
74,Stockholm
75,Paris
76,Melbourne
77,Zurich
78,Stockholm
79,New_York
80,Paris
81,New_York
82,New_York
83,New_York
84,Ho_Chi_Minh
85,Los_Angeles
86,Paris
87,Chicago
88,Phoenix
89,New_York
90,Denver
91,Stockholm
92,Singapore
93,Prague
94,Phoenix
95,New_York
96,Dubai
97,Prague
98,New_York
99,Prague
100,New_York
101,New_York
102,Chicago
103,Warsaw
104,Denver
105,Chicago
106,Melbourne
107,Montreal
108,Stockholm
109,Denver
110,Toronto
111,Chicago
112,Rome
113,New_York
114,Los_Angeles
115,Chicago
116,Stockholm
117,Chicago
118,Melbourne
119,New_York
120,Paris
121,New_York
122,New_York
123,New_York
124,Denver
125,Los_Angeles
126,Los_Angeles
127,Melbourne
128,Zurich
129,Stockholm
130,New_York
131,Chicago
132,Chicago
133,New_York
134,Vienna
135,Mexico_City
136,Sydney
137,New_York
138,Paris
139,Santiago
140,Chicago
141,Prague
142,New_York
143,Chicago
144,Prague
145,Mexico_City
146,Chicago
147,Los_Angeles
148,Mexico_City
149,Stockholm
150,Perth
151,Mexico_City
152,New_York
153,Prague
154,Edmonton
155,Stockholm
156,New_York
157,Toronto
158,Kuching
159,Chicago
160,Ho_Chi_Minh
161,Chicago
162,Mexico_City
163,Prague
164,Melbourne
165,Chicago
166,New_York
167,Prague
168,Chicago
169,New_York
170,Rome
171,London
172,Chicago
173,Los_Angeles
174,New_York
175,New_York
176,London
177,New_York
178,Rome
179,Warsaw
180,Mexico_City
181,Chicago
182,New_York
183,Paris
184,Stockholm
185,Brussels
186,New_York
187,New_York
188,Chicago
189,London
190,Phoenix
191,Ho_Chi_Minh
192,Prague
193,New_York
194,Prague
195,Los_Angeles
196,Phoenix
197,New_York
198,New_York
199,London
200,Chicago
201,London
202,Oslo
203,Chicago
204,London
205,New_York
206,Bucharest
207,New_York
208,Los_Angeles
209,Belem
210,Phoenix
211,Rome
212,New_York
213,Toronto
214,New_York
215,New_York
216,Vancouver
217,London
218,Vancouver
219,Los_Angeles
220,Chicago
221,Rome
222,Paris
223,Prague
224,New_York
225,Denver
226,Chicago
227,Chicago
228,Chicago
229,Vienna
230,Toronto
231,Prague
232,Oslo
233,Chicago
234,Prague
235,Prague
236,London
237,Los_Angeles
238,Prague
239,New_York
240,Los_Angeles
241,Warsaw
242,New_York
243,Los_Angeles
244,Los_Angeles
245,Melbourne
246,Prague
247,Paris
248,Stockholm
249,Rome
250,New_York
251,London
252,New_York
253,New_York
254,Los_Angeles
255,Prague
256,New_York
257,Prague
258,Stockholm
259,Paris
260,Mexico_City
261,Mexico_City
262,Chicago
263,Prague
264,Prague
265,Rome
266,Chicago
267,Chicago
268,Zurich
269,New_York
270,Bangkok
271,Stockholm
272,Phoenix
273,London
274,Madrid
275,London
276,Los_Angeles
277,Los_Angeles
278,Chicago
279,Oslo
280,Paris
281,New_York
282,Chicago
283,Denver
284,Bucharest
285,Rome
286,Melbourne
287,New_York
288,Puerto_Rico
289,Chicago
290,Oslo
291,Chicago
292,New_York
293,Vienna
294,Phoenix
295,New_York
296,Chicago
297,New_York
298,New_York
299,Monterrey
300,Los_Angeles
301,New_York
302,London
303,New_York
304,Mexico_City
305,Ho_Chi_Minh
306,Prague
307,Chicago
308,Zurich
309,New_York
310,Kuala_Lumpur
311,Phoenix
312,New_York
313,Dublin
314,London
315,Melbourne
316,Warsaw
317,London
318,London
319,Edmonton
320,Prague
321,London
322,Prague
323,New_York
324,Los_Angeles
325,New_York
326,Oslo
327,New_York
328,Stockholm
329,New_York
330,New_York
331,New_York
332,New_York
333,New_York
334,Los_Angeles
335,Prague
336,Vancouver
337,Paris
338,New_York
339,Oslo
340,Indianapolis
341,New_York
342,Phoenix
343,Prague
344,Denver
345,Los_Angeles
346,Prague
347,Prague
348,Chicago
349,Zurich
350,Rome
351,Berlin
352,Mexico_City
353,Los_Angeles
354,Denver
355,New_York
356,New_York
357,Rome
358,New_York
359,Luanda
360,Stockholm
361,London
362,New_York
363,Mexico_City
364,Melbourne
365,Indianapolis
366,Indianapolis
367,Ljubljana
368,New_York
369,Ljubljana
370,Chicago
371,Mexico_City
372,Chicago
373,Oslo
374,Denver
375,Chicago
376,Mexico_City
377,Edmonton
378,Chicago
379,Sao_Paulo
380,Tokyo
381,Chicago
382,New_York
383,Prague
384,Mexico_City
385,Mexico_City
386,New_York
387,Chicago
388,Chicago
389,Denver
390,Ljubljana
391,Mexico_City
392,New_York
393,London
394,Ljubljana
395,Chicago
396,New_York
397,New_York
398,Dublin
399,Stockholm
400,Los_Angeles
401,Chicago
402,Rome
403,New_York
404,Chicago
405,Denver
406,Phoenix
407,Prague
408,Rome
409,London
410,Amsterdam
411,Melbourne
412,Paris
413,New_York
414,Prague
415,London
416,Prague
417,Prague
418,Chicago
419,Prague
420,Prague
421,New_York
422,New_York
423,Manila
424,Los_Angeles
425,Chicago
426,Brunei
427,Madrid
428,Madrid
429,New_York
430,New_York
431,Warsaw
432,Mexico_City
433,Chicago
434,Prague
435,Zurich
436,Buenos_Aires
437,Edmonton
438,New_York
439,Manila
440,Mexico_City
441,Prague
442,Chicago
