src,dst
0,7
0,114
0,1
0,3
0,135
0,77
0,127
0,80
0,116
0,122
1,93
1,135
1,3
1,0
1,77
1,80
1,127
1,116
1,110
1,78
2,74
2,99
2,44
2,63
2,61
2,48
2,37
2,92
2,85
2,129
3,0
3,77
3,135
3,127
3,93
3,1
3,78
3,122
3,117
3,80
4,76
4,37
4,99
4,50
4,14
4,46
4,13
4,62
4,12
4,130
5,106
5,18
5,46
5,45
5,47
5,13
5,12
5,62
5,56
5,75
6,84
6,90
6,94
6,70
6,41
6,31
6,54
6,126
6,91
6,40
7,114
7,53
7,77
7,80
7,135
7,131
7,127
7,122
7,0
7,96
8,118
8,33
8,60
8,65
8,112
8,110
8,59
8,78
8,93
8,116
9,67
9,42
9,38
9,17
9,10
9,32
9,98
9,43
9,16
9,28
10,19
10,16
10,15
10,9
10,18
10,43
10,24
10,38
10,17
10,42
11,100
11,40
11,68
11,54
11,91
11,121
11,104
11,31
11,89
11,84
12,47
12,130
12,62
12,45
12,46
12,18
12,16
12,15
12,13
12,14
13,47
13,130
13,62
13,45
13,46
13,18
13,16
13,15
13,12
13,14
14,48
14,130
14,50
14,13
14,47
14,39
14,12
14,99
14,17
14,46
15,16
15,18
15,19
15,46
15,43
15,10
15,17
15,42
15,45
15,12
16,15
16,45
16,46
16,43
16,42
16,19
16,18
16,17
16,9
16,10
17,9
17,43
17,16
17,39
17,15
17,38
17,42
17,18
17,19
17,10
18,43
18,16
18,15
18,19
18,10
18,45
18,46
18,17
18,42
18,12
19,16
19,10
19,18
19,15
19,43
19,24
19,17
19,42
19,108
19,45
20,88
20,32
20,34
20,21
20,79
20,51
20,28
20,98
20,67
20,107
21,34
21,20
21,88
21,79
21,28
21,68
21,67
21,32
21,51
21,38
22,23
22,51
22,57
22,109
22,102
22,26
22,140
22,36
22,72
22,20
23,26
23,140
23,51
23,22
23,102
23,57
23,109
23,72
23,36
23,49
24,55
24,10
24,19
24,75
24,108
24,36
24,16
24,18
24,15
24,43
25,111
25,63
25,85
25,74
25,105
25,30
25,47
25,48
25,62
25,130
26,49
26,22
26,140
26,57
26,23
26,102
26,72
26,73
26,109
26,51
27,73
27,134
27,126
27,101
27,82
27,66
27,6
27,49
27,41
27,26
28,32
28,67
28,20
28,107
28,98
28,21
28,51
28,38
28,36
28,9
29,67
29,32
29,28
29,107
29,38
29,34
29,21
29,98
29,9
29,142
30,25
30,44
30,105
30,74
30,5
30,111
30,106
30,85
30,63
30,113
31,6
31,40
31,54
31,70
31,91
31,126
31,84
31,41
31,94
31,100
32,9
32,98
32,67
32,21
32,107
32,28
32,29
32,38
32,20
32,36
33,60
33,118
33,65
33,116
33,59
33,77
33,93
33,78
33,80
33,112
34,88
34,21
34,20
34,32
34,79
34,68
34,28
34,67
34,51
34,40
35,121
35,115
35,40
35,89
35,11
35,31
35,54
35,84
35,91
35,6
36,107
36,28
36,140
36,22
36,109
36,51
36,32
36,24
36,57
36,133
37,50
37,39
37,76
37,103
37,4
37,99
37,129
37,58
37,92
37,52
38,67
38,17
38,10
38,98
38,42
38,32
38,9
38,28
38,43
38,16
39,43
39,17
39,15
39,42
39,76
39,46
39,16
39,18
39,9
39,38
40,11
40,54
40,68
40,91
40,31
40,100
40,6
40,90
40,121
40,84
41,6
41,31
41,94
41,66
41,70
41,84
41,54
41,91
41,104
41,126
42,43
42,15
42,19
42,16
42,17
42,39
42,67
42,38
42,9
42,10
43,16
43,15
43,18
43,17
43,42
43,19
43,46
43,10
43,45
43,9
44,105
44,111
44,85
44,30
44,63
44,25
44,61
44,106
44,74
44,5
45,46
45,12
45,62
45,18
45,15
45,16
45,47
45,13
45,43
45,19
46,15
46,16
46,18
46,43
46,45
46,62
46,12
46,13
46,17
46,39
47,12
47,130
47,45
47,46
47,62
47,18
47,48
47,14
47,13
47,15
48,47
48,130
48,14
48,13
48,12
48,50
48,105
48,46
48,74
48,45
49,73
49,57
49,140
49,23
49,22
49,102
49,26
49,72
49,109
49,143
50,12
50,76
50,62
50,4
50,48
50,47
50,99
50,14
50,130
50,13
51,20
51,79
51,57
51,140
51,36
51,109
51,28
51,23
51,22
51,21
52,29
52,58
52,142
52,67
52,103
52,38
52,76
52,32
52,28
52,9
53,117
53,96
53,114
53,127
53,123
53,141
53,71
53,7
53,131
53,97
54,31
54,40
54,68
54,100
54,91
54,6
54,11
54,94
54,84
54,41
55,10
55,75
55,72
55,108
55,57
55,56
55,24
55,133
55,19
55,36
56,75
56,133
56,132
56,55
56,5
56,19
56,72
56,106
56,108
56,24
57,109
57,23
57,22
