1Similar,2Similar,3Similar,4Similar,5Similar,original
77,1,3,135,122,0
0,3,135,93,77,1
63,30,44,61,74,2
135,0,77,93,1,3
37,62,13,12,45,4
106,62,13,45,12,5
41,84,31,94,66,6
0,77,127,114,119,7
33,60,118,65,112,8
38,10,24,19,42,9
9,38,24,19,16,10
100,121,54,40,91,11
13,14,47,106,5,12
12,14,47,106,5,13
99,12,47,130,13,14
18,16,43,17,19,15
17,43,19,15,18,16
15,19,43,16,42,17
43,16,15,17,19,18
17,16,42,43,15,19
34,51,21,140,88,20
20,51,34,88,79,21
57,23,109,51,72,22
22,57,72,109,49,23
10,9,19,42,55,24
30,111,74,85,63,25
57,22,102,23,49,26
6,126,31,84,66,27
67,36,29,32,107,28
32,67,98,107,28,29
63,85,111,74,25,30
35,6,66,41,40,31
36,28,29,67,107,32
59,65,118,116,60,33
79,20,88,21,51,34
6,54,40,31,11,35
32,28,29,67,107,36
106,13,62,4,12,37
9,10,24,67,19,38
18,15,43,17,76,39
91,11,54,35,121,40
6,94,84,66,31,41
43,17,16,19,10,42
16,17,15,18,19,43
63,30,2,61,74,44
62,18,46,106,15,45
18,45,15,62,39,46
12,50,130,14,13,47
105,130,47,14,99,48
23,102,26,22,73,49
130,14,47,4,105,50
20,21,140,34,22,51
58,36,133,72,103,52
96,117,123,71,141,53
91,35,11,40,121,54
103,75,56,24,76,55
103,19,75,76,55,56
22,72,23,51,109,57
52,72,132,36,103,58
116,118,65,80,93,59
112,33,118,8,65,60
44,2,63,30,85,61
5,106,46,45,4,62
30,74,111,25,85,63
125,139,124,112,136,64
118,116,59,33,93,65
6,41,31,84,94,66
29,32,98,107,28,67
101,89,40,104,91,68
20,21,140,79,51,69
6,97,84,90,95,70
53,141,115,131,117,71
57,58,109,22,23,72
100,104,121,102,49,73
111,25,63,30,85,74
56,55,76,103,19,75
75,39,18,56,15,76
0,122,3,80,127,77
93,80,77,116,0,78
34,21,88,143,51,79
77,93,78,122,116,80
30,63,113,74,85,81
141,97,71,115,53,82
136,137,124,125,128,83
6,41,90,94,95,84
111,92,30,25,74,85
114,117,127,96,53,86
120,51,21,143,79,87
34,21,79,20,143,88
101,11,68,100,91,89
95,70,94,84,6,90
121,40,54,11,68,91
85,48,14,105,99,92
78,135,1,80,0,93
84,6,90,95,41,94
90,94,70,6,84,95
53,114,117,123,71,96
70,141,115,82,71,97
67,29,107,32,142,98
130,14,47,12,13,99
11,121,101,104,40,100
68,121,100,104,89,101
49,26,23,73,22,102
75,55,52,56,58,103
73,101,100,121,68,104
48,14,50,130,47,105
13,12,62,45,5,106
98,29,32,67,28,107
10,42,16,19,9,108
72,57,22,36,28,109
135,93,1,78,3,110
25,30,74,63,85,111
8,60,33,118,125,112
85,81,30,63,111,113
117,86,96,127,53,114
71,53,141,131,117,115
59,78,80,77,93,116
53,96,123,114,131,117
59,65,116,33,78,118
77,122,7,0,127,119
107,98,32,28,29,120
100,40,11,101,104,121
80,0,77,119,3,122
53,114,117,96,131,123
125,136,139,64,137,124
139,124,136,64,112,125
6,27,31,66,41,126
7,77,114,53,86,127
83,137,124,136,125,128
16,15,18,43,17,129
99,14,47,50,48,130
117,71,53,115,96,131
72,36,133,52,58,132
132,52,142,58,36,133
11,91,54,40,121,134
3,1,0,93,77,135
137,124,125,139,64,136
124,139,136,125,83,137
115,123,97,71,141,138
124,64,112,125,136,139
51,20,21,34,22,140
71,53,97,131,115,141
67,98,29,32,36,142
88,34,51,21,79,143
