1Similar,2Similar,3Similar,4Similar,5Similar,original
Rapidash,Ivysaur,Charmander,Flareon,Scyther,Bulbasaur
Bulbasaur,Charmander,Flareon,Gengar,Rapidash,Ivysaur
Kadabra,Nidoqueen,Vileplume,Poliwrath,Graveler,Venusaur
Flareon,Bulbasaur,Rapidash,Gengar,Ivysaur,Charmander
Ninetales,Abra,Kakuna,Weedle,Paras,Charmeleon
Hitmonchan,Abra,Kakuna,Paras,Weedle,Charizard
Golbat,Dodrio,Nidoran M,Onix,Machoke,Squirtle
Bulbasaur,Rapidash,Tauros,Kangaskhan,Staryu,Wartortle
Nidoking,Poliwhirl,Seaking,Machop,Chansey,Blastoise
Jigglypuff,Metapod,Pikachu,Raticate,Oddish,Caterpie
Caterpie,Jigglypuff,Pikachu,Raticate,Pidgeotto,Metapod
Electrode,Mr. Mime,Golduck,Zubat,Gastly,Butterfree
Kakuna,Beedrill,Venonat,Hitmonchan,Charizard,Weedle
Weedle,Beedrill,Venonat,Hitmonchan,Charizard,Kakuna
Voltorb,Weedle,Venonat,Lapras,Kakuna,Beedrill
Rattata,Pidgeotto,Gloom,Pidgeot,Raticate,Pidgey
Pidgeot,Gloom,Raticate,Pidgey,Rattata,Pidgeotto
Pidgey,Raticate,Gloom,Pidgeotto,Oddish,Pidgeot
Gloom,Pidgeotto,Pidgey,Pidgeot,Raticate,Rattata
Pidgeot,Pidgeotto,Oddish,Gloom,Pidgey,Raticate
Clefairy,Meowth,Fearow,Kabutops,Muk,Spearow
Spearow,Meowth,Clefairy,Muk,Slowbro,Fearow
Growlithe,Arbok,Weezing,Meowth,Tentacruel,Ekans
Ekans,Growlithe,Tentacruel,Weezing,Diglett,Arbok
Metapod,Caterpie,Raticate,Oddish,Mankey,Pikachu
Nidoqueen,Rhydon,Graveler,Seel,Kadabra,Raichu
Growlithe,Ekans,Exeggutor,Arbok,Diglett,Sandshrew
Squirtle,Pinsir,Nidoran M,Dodrio,Machoke,Sandslash
Machamp,Vulpix,Nidorina,Nidorino,Lickitung,Nidoran F
Nidorino,Machamp,Kingler,Lickitung,Nidoran F,Nidorina
Kadabra,Seel,Rhydon,Graveler,Raichu,Nidoqueen
Clefable,Squirtle,Machoke,Golbat,Zubat,Nidoran M
Vulpix,Nidoran F,Nidorina,Machamp,Lickitung,Nidorino
Poliwag,Machop,Seaking,Seadra,Poliwhirl,Nidoking
Slowbro,Spearow,Muk,Fearow,Meowth,Clefairy
Squirtle,Golduck,Zubat,Nidoran M,Butterfree,Clefable
Nidorino,Nidoran F,Nidorina,Machamp,Lickitung,Vulpix
Hitmonchan,Kakuna,Abra,Charmeleon,Weedle,Ninetales
Caterpie,Metapod,Pikachu,Machamp,Raticate,Jigglypuff
Rattata,Pidgey,Gloom,Pidgeot,Ponyta,Wigglytuff
Gastly,Butterfree,Golduck,Clefable,Mr. Mime,Zubat
Squirtle,Onix,Dodrio,Machoke,Nidoran M,Golbat
Gloom,Pidgeot,Pidgeotto,Raticate,Metapod,Oddish
Pidgeotto,Pidgeot,Pidgey,Rattata,Raticate,Gloom
Kadabra,Nidoqueen,Venusaur,Poliwrath,Graveler,Vileplume
Abra,Rattata,Parasect,Hitmonchan,Pidgey,Paras
Rattata,Paras,Pidgey,Abra,Wigglytuff,Parasect
Weedle,Dugtrio,Lapras,Beedrill,Kakuna,Venonat
Hitmonlee,Lapras,Venonat,Beedrill,Voltorb,Venomoth
Arbok,Exeggutor,Sandshrew,Ekans,Geodude,Diglett
Lapras,Beedrill,Venonat,Charmeleon,Hitmonlee,Dugtrio
