,0
0,Rome
1,Prague
2,Prague
3,New_York
4,New_York
5,Chicago
6,Chicago
7,Chicago
8,Prague
9,New_York
10,Prague
11,Chicago
12,Chicago
13,New_York
14,Prague
15,Oslo
16,New_York
17,Edmonton
18,Los_Angeles
19,Los_Angeles
20,Prague
21,Prague
22,New_York
23,New_York
24,New_York
25,Chicago
26,Oslo
27,Prague
28,Prague
29,Stockholm
30,Chicago
31,New_York
32,Prague
33,Chicago
34,Prague
35,Chicago
36,Los_Angeles
37,Prague
38,Prague
39,London
40,Prague
41,Prague
42,Chicago
43,New_York
44,Los_Angeles
45,New_York
46,Mexico_City
47,Stockholm
48,Prague
49,London
50,Chicago
51,New_York
52,Prague
53,Prague
54,Phoenix
55,New_York
56,Prague
57,London
58,Chicago
59,Chicago
60,New_York
61,Prague
62,Chicago
63,New_York
64,Phoenix
65,New_York
66,Los_Angeles
67,Mexico_City
68,Mexico_City
69,New_York
70,Prague
71,New_York
72,New_York
73,Los_Angeles
74,Prague
75,Chicago
76,Stockholm
77,London
78,New_York
79,New_York
80,London
81,Stockholm
82,Prague
83,Prague
84,New_York
85,New_York
86,Prague
87,New_York
88,Prague
89,Chicago
90,Mexico_City
91,New_York
92,New_York
93,Los_Angeles
94,Phoenix
95,New_York
96,Chicago
97,Prague
98,New_York
99,Los_Angeles
100,Chicago
101,New_York
102,New_York
103,New_York
104,Los_Angeles
105,Prague
106,London
107,New_York
108,Chicago
109,London
110,London
111,Chicago
112,Prague
113,Prague
114,New_York
115,New_York
116,London
117,New_York
118,Los_Angeles
119,Prague
120,Chicago
121,Los_Angeles
122,Chicago
123,Chicago
124,Prague
125,Los_Angeles
126,Prague
127,Prague
128,New_York
129,New_York
130,Prague
131,London
132,Prague
133,Prague
134,Prague
135,Los_Angeles
136,Edmonton
137,Prague
138,London
139,New_York
140,New_York
141,New_York
142,Prague
143,Mexico_City
144,Los_Angeles
145,Phoenix
146,Buenos_Aires
147,Chicago
148,London
149,Chicago
150,Prague
151,Prague
152,Chicago
153,Prague
154,New_York
155,Chicago
156,Chicago
157,Prague
158,Phoenix
159,New_York
160,Stockholm
161,Chicago
162,New_York
163,New_York
164,Los_Angeles
165,New_York
166,Los_Angeles
167,Prague
168,New_York
169,New_York
170,Prague
171,Chicago
172,New_York
173,London
174,Chicago
175,Los_Angeles
176,New_York
177,Chicago
178,New_York
179,Los_Angeles
180,New_York
181,Stockholm
182,New_York
183,Mexico_City
184,Chicago
185,Chicago
186,Chicago
187,Prague
188,London
189,Phoenix
190,Chicago
191,Los_Angeles
192,New_York
193,New_York
194,London
195,Warsaw
196,New_York
197,Los_Angeles
198,Los_Angeles
199,Chicago
200,Chicago
