,True_longitude
0,14.506891
1,114.244019
2,-71.144063
3,-112.05438999999998
4,10.14604
5,2.4062189999999997
6,15.846658999999999
7,-112.054484
8,147.323992
9,-122.02287700000001
10,-77.1943
11,-97.34098
12,-90.23659599999999
13,114.005082
14,7.391908
15,8.957063
16,-0.44520299999999996
17,72.56258299999999
18,-123.153484
19,-99.60364799999999
20,-80.750325
21,10.233621000000001
22,-97.129502
23,-77.045967
24,-84.08796
25,-83.627153
26,-117.282905
27,14.329581
28,-95.545364
29,14.329863000000001
30,-79.211145
31,-77.79674200000001
32,-103.393434
33,14.531791
34,9.667991
35,7.1203330000000005
36,-79.209118
37,0.164997
38,18.155969
39,14.412310999999999
40,18.254455
41,-119.79276899999999
42,116.675923
43,-121.313906
44,-116.948769
45,4.88037
46,139.92784
47,-73.15907
48,-77.042099
49,-97.458885
50,-1.875663
51,18.441585999999997
52,-1.8859560000000002
53,-98.195797
54,-116.92935700000001
55,-1.471757
56,-1.992845
57,10.701889
58,-80.133481
59,-113.369514
60,22.955821
61,15.879426
62,-90.235716
63,0.12166800000000001
64,-73.901214
65,13.771025
66,-80.100151
67,0.176483
68,103.839605
69,6.145004
70,-80.131126
71,-77.52821800000001
72,55.24953000000001
73,11.332434
74,15.066170000000001
75,-97.46032199999999
76,10.390041
77,-113.497725
78,-97.461167
79,-80.101372
80,-117.945174
81,13.539558
82,2.779109
83,-72.752583
84,-76.609996
85,-122.75653799999999
86,-104.805382
87,-77.50743299999999
88,-97.437248
89,-7.716206
90,2.403562
91,-79.20947
92,13.536275
93,18.143701
94,12.05492
95,-117.94508300000001
96,10.283816
97,-100.379925
98,18.145141
99,-73.902684
100,12.895711
101,-118.156748
102,-88.252088
103,11.360702999999999
104,-77.385062
105,-77.41672
106,-111.999338
107,0.121101
108,100.459634
109,-7.717224000000001
110,-77.07385
111,-1.819627
112,-70.84706700000001
113,-123.016823
114,2.282238
115,0.239073
116,-96.74475799999999
117,9.191285
118,-87.89190699999999
119,-99.619129
120,10.279524
121,-77.38515100000001
122,10.766204
123,-113.76096399999999
124,100.569303
125,-81.092324
126,-79.39358399999999
127,-2.730979
128,14.420251
129,9.504219
130,14.507263
131,17.998914000000003
132,13.293089000000002
133,-112.008187
134,-122.38960300000001
135,-118.22036200000001
136,-78.583872
137,11.346061
138,-90.062816
139,103.82746800000001
140,-87.829916
141,-113.498805
142,-98.196054
143,14.563756
144,-85.061945
145,-90.238795
146,-95.79769
147,14.32743
148,17.994235
149,18.140539
150,13.209973000000002
151,17.999282
152,-2.0001860000000002
153,-118.1466
154,-71.133572
155,-83.545869
156,18.790228
157,-112.05308600000001
158,2.400986
159,-74.525409
160,18.000734
161,-71.42868399999999
162,100.566489
163,15.767199
164,-72.752511
165,8.951727
166,9.181616
167,-71.533679
168,121.048426
169,-122.96840300000001
170,-77.03913
171,-90.921059
172,10.498811
173,-79.93689
174,-111.740086
175,8.954754
176,14.428181
177,-87.915438
178,8.955321000000001
179,100.538797
180,-77.344332
181,13.374857
182,151.208833
183,-123.37518
184,-97.4277
185,-113.388081
186,-93.429562
187,-83.11676999999999
188,13.655710000000001
189,110.331207
190,-118.174299
191,15.071982
192,-84.33395
193,14.456202
194,12.470348
195,55.351466
196,14.403817000000002
197,-90.236963
198,102.277192
199,-95.54790600000001
200,13.265825
201,-79.391209
202,153.118674
203,-82.432999
204,-122.664051
205,13.757121
206,-0.43908400000000003
207,1.53565
208,-122.63166299999999
209,8.987403
210,-72.743899
211,0.172707
212,14.332629
213,-128.610204
214,-90.23601
215,-47.020417
216,11.357033
217,-104.749678
218,-71.246911
219,-71.059202
220,-81.805911
221,14.009661
222,-77.528666
223,-81.811206
224,-83.531798
225,13.554329000000001
226,17.609307
227,13.542957000000001
228,-74.58280400000001
229,-58.364158999999994
230,7.148432000000001
231,120.99260600000001
232,-90.329877
233,-97.455588
234,12.571264
235,-96.827689
236,10.796541
237,-77.42138299999999
238,-111.99719499999999
239,17.995483
240,-1.612739
241,-77.380487
242,-117.945632
243,-93.38681
244,-77.692308
245,-80.61365500000001
246,-85.80337800000001
247,-122.67449099999999
248,-105.229308
249,14.502384
250,9.030352
251,-7.714746000000001
252,-116.94113300000001
253,-113.444383
254,16.655345
255,8.947613
256,-0.43907700000000005
257,5.120305999999999
258,13.546712
259,-86.326545
260,18.005871
261,1.5328760000000001
262,13.73165
263,13.286767000000001
264,-79.211233
265,100.51875799999999
266,-0.445383
267,-3.7341870000000004
268,10.284858
269,115.747118
270,-0.43427299999999996
271,18.446467000000002
272,14.077929000000001
273,-90.074567
274,-90.064276
275,-2.469354
276,-112.039579
277,0.17689000000000002
278,0.176488
279,-7.717224000000001
280,-97.322418
281,175.311643
282,-97.450179
283,26.094125
284,18.167175
285,14.09689
286,-1.8758569999999999
287,143.192014
288,9.597432000000001
289,-87.806877
290,-72.744602
291,-122.40996000000001
292,11.914057000000001
293,-80.97635799999999
294,-80.687435
295,-90.16124
296,-113.402677
297,114.23268799999998
298,-91.052142
299,14.535429
300,2.3506240000000003
301,-97.45973000000001
302,12.044561999999999
303,-118.513902
304,14.445526000000001
305,14.184404
306,-76.77959200000001
307,14.410744000000001
308,16.447559
309,-71.820211
310,-80.688822
311,13.544497
312,-72.753677
313,14.721907999999999
314,14.258135000000001
315,-77.526785
316,12.571354
317,-113.50568600000001
318,-118.498667
319,-73.99893399999999
320,-57.987427000000004
321,-58.384214
322,-77.142989
323,16.464999
324,-77.711629
325,1.5310620000000001
326,-100.44128
327,9.283324
328,14.429179000000001
329,-76.60801
330,-117.23201499999999
331,18.001348999999998
332,12.676397
333,13.540682
334,4.99369
335,14.501965
336,25.279239
337,9.603452
338,-90.07529699999999
339,-97.465648
340,10.417339
341,2.4085650000000003
342,11.892517
343,-1.5312569999999999
344,2.348202
345,0.804855
346,-77.398067
347,-3.723557
348,-72.744003
349,14.537232000000001
350,11.910839999999999
351,-98.198702
352,10.357452
353,-116.93634899999999
354,2.348024
355,-114.28776
356,-104.899694
357,-81.458668
358,114.193306
359,-118.03969599999999
360,-77.53001
361,-104.999905
362,-80.13444100000001
363,-87.59869499999999
364,-116.96808700000001
365,14.308767000000001
366,-81.306974
367,-97.432347
368,18.135403
369,5.32429
370,8.956472999999999
371,8.950096
372,-98.19451600000001
373,-77.202745
374,-105.00958200000001
375,-122.652643
376,-72.755195
377,9.945969
378,-79.151987
379,-98.145421
380,2.78829
381,-83.101095
382,-94.635148
383,2.350062
384,147.24288
385,-76.586885
386,-1.989453
387,113.968655
388,13.311325
389,-97.458462
390,-97.460829
391,11.910751
392,-2.684205
393,-113.504749
394,-87.844577
395,-1.5375510000000001
396,-77.344422
397,2.401785
398,-0.022451
399,11.049742
400,-117.920644
401,-1.954263
402,-85.805379
403,-90.067049
404,14.372010999999999
405,-122.586716
406,114.324997
407,-78.583162
408,113.96911999999999
409,-93.29259499999999
410,8.53849
411,-78.935851
412,26.095788
413,-84.091756
414,100.577568
415,15.210679999999998
416,-112.05141
417,-1.614139
418,113.98463899999999
419,14.510464
420,130.547958
421,-75.166075
422,-6.226437000000001
423,11.360653999999998
424,-87.836134
425,2.7851779999999997
426,5.061243
427,-122.56178700000001
